name,submitted,category,iso,id_no
Cultural landscape of the stud farm at Kladruby nad Labem,29/05/2007,C,CZ,5151
Mountain-top Hotel and Television Transmitter Ještěd,29/05/2007,C,CZ,5152
Žatec – the Hops Town,29/05/2007,C,CZ,5153
Sites of Great Moravia: Slavonic Fortified Settlement at Mikulcice - Church of St.Margaret at Kopčani,06/07/2001,C,CZ,1559
The Industrial Complexes at Ostrava,06/07/2001,C,CZ,1560
The Fortress of Terezín,06/07/2001,C,CZ,1561
The Spa at Luhacovice,06/07/2001,C,CZ,1562
The Betlém Rock Sculptures near Kuks,06/07/2001,C,CZ,1563
The Karlstejn Castle,06/07/2001,C,CZ,1564
"Extension of the World Heritage Site ""Historic Centre of Prague"" with the important Monuments in its Vicinity",06/07/2001,C,CZ,1565
Renaissance Houses at Slavonice,19/01/2001,C,CZ,1507
Paper Mill at Velké Losiny,19/01/2001,C,CZ,1508
Fishpond Network in the Trebon Basin,19/01/2001,C,CZ,1509
Český ráj (Czech Paradise) Rock Cities,19/01/2001,N,CZ,1511
Mt. Myohyang and the Relics in and around the Mountain,25/05/2000,CN,KP,1422
Historical Relics in Pyongyang,25/05/2000,C,KP,1424
Mt. Kumgang and the Historical Relics in and around the Mountain,25/05/2000,CN,KP,1425
Caves in Kujang Area,25/05/2000,N,KP,1426
Mt. Chilbo,25/05/2000,N,KP,1427
Grottes de Dimba et Ngovo,11/11/1997,CN,CD,961
Grottes de Matupi,11/11/1997,CN,CD,962
Dépression de l'Upemba,11/11/1997,CN,CD,963
Viking Age Ring Fortresses,30/01/2018,C,DK,6284
"VIKING MONUMENTS AND SITES / Jelling mounds, runic stones, palisade area and church",07/02/2011,C,DK,5581
"VIKING MONUMENTS AND SITES / The Trelleborg fortresses, Denmark",07/02/2011,C,DK,5582
Moler landscapes of the Liim Fiord,08/01/2010,N,DK,5474
The Trelleborg fortresses,08/01/2010,C,DK,5475
"Aasivissuit - Nipisat, Inuit Hunting Ground between Ice and Sea",29/01/2003,C,DK,1782
Amalienborg and its district,01/09/1993,C,DK,179
Les Tumulus (Awellos),05/01/2015,C,DJ,5956
Les Gravures Rupestre d’Abourma,05/01/2015,C,DJ,5957
Le paysage urbain historique de la ville de Djibouti et ses bâtiments spécifiques,05/01/2015,C,DJ,5958
Le Lac Assal,05/01/2015,N,DJ,5959
Les îles Moucha et Maskali,05/01/2015,N,DJ,5960
Les paysages naturels de la région d’Obock,05/01/2015,N,DJ,5961
Le Parc National de la forêt du Day,05/01/2015,N,DJ,5962
Aire naturelle terrestre protégée d’Assamo,05/01/2015,N,DJ,5963
Aire naturelle protégée de Djalélo,05/01/2015,N,DJ,5964
"Lac Abbeh : son paysage culturel, ses monuments naturels et son écosystème",05/01/2015,CN,DJ,5965
Fort Shirley,05/02/2015,C,DM,6020
Morne Diablotin National Park,05/02/2015,N,DM,6021
Soufriere-Scott’s Head Marine Reserve,05/02/2015,N,DM,6022
Sitio Arqueológico de la Villa La Isabela,05/02/2018,C,DO,6289
Parque Nacional Jaragua,05/02/2018,CN,DO,6290
Primeros Ingenios Coloniales Azucareros de América,05/02/2018,C,DO,6291
Parque Nacional Cotubanamá,05/02/2018,C,DO,6292
Santuario de Mamíferos Marinos Bancos de La Plata y Navidad,05/02/2018,CN,DO,6293
Arte Rupestre Prehispánico en República Dominicana,05/02/2018,C,DO,6294
Sanate Sugar Mill [Ruta de Los Ingenios],05/04/2002,C,DO,1714
Nuestra Señora de Monte Alegre or la Duquesa Sugar Mill [Ruta de Los Ingenios],05/04/2002,C,DO,1715
"Jacagua, Villa of Santiago",21/11/2001,C,DO,1704
Montecristi,21/11/2001,C,DO,1705
"Archaeological and Historical National Park of Pueblo Viejo, La Vega",21/11/2001,C,DO,1707
Historical Centre of Puerto Plata,21/11/2001,C,DO,1708
City of Azúa de Compostela,21/11/2001,C,DO,1709
Zaruma ciudad minera,24/02/2016,C,EC,6089
Cultural Itinerary of Ecuador's Trans-Andean Train,24/02/2016,C,EC,6090
Mayo Chinchipe - Marañón archaeological landscape,24/02/2016,C,EC,6091
Parque Nacional Machalilla,30/06/1998,CN,EC,1080
Bosque petrificado de Puyango,30/06/1998,N,EC,1081
Kharga Oasis and the Small Southern Oases,03/09/2015,CN,EG,6067
Helwan Observatory,03/11/2010,CN,EG,5574
Dababiya,24/07/2008,N,EG,5389
"Alexandria, ancient remains and the new library",28/07/2003,C,EG,1822
"Abydos, city of pilgrimage of the Pharaohs",28/07/2003,C,EG,1823
Pharaonic temples in Upper Egypt from the Ptolemaic and Roman periods,28/07/2003,C,EG,1824
"Necropolises of Middle Egypt, from the Middle Empire to the Roman period",28/07/2003,C,EG,1825
Raoudha nilometre in Cairo,28/07/2003,C,EG,1826
The monasteries of the Arab Desert and Wadi Natrun,28/07/2003,C,EG,1827
Two citadels in Sinai from the Saladin period (Al-Gundi and Phataoh's island),28/07/2003,C,EG,1828
"The An-Nakhl fortress, a stage on the pilgrimage route to Mecca",28/07/2003,C,EG,1829
"Oasis of Fayoum, hydraulic remains and ancient cultural landscapes",28/07/2003,C,EG,1830
Historic quarters and monuments of Rosetta/Rachid,28/07/2003,C,EG,1831
"Southern and Smaller Oases, the Western Desert",12/06/2003,N,EG,1808
Bird Migration Routes,12/06/2003,N,EG,1809
Desert Wadis,12/06/2003,N,EG,1810
Mountain Chains,12/06/2003,N,EG,1811
Great Desert Landscapes,12/06/2003,N,EG,1812
"Gebel Qatrani Area, Lake Qaroun Nature Reserve",10/02/2003,CN,EG,1797
Ras Mohammed,22/01/2002,N,EG,1636
Siwa archaeological area,01/11/1994,C,EG,186
Temple of Serabit Khadem,01/11/1994,C,EG,187
North Sinai archaeological Sites Zone,01/11/1994,C,EG,189
Temple of Hator built by Ramses III,01/11/1994,C,EG,190
Dahshour archaeological area,01/11/1994,C,EG,191
"El Fayoum: Kom Aushim (Karanis), Dimai (Soknopaiounesos), Qasr Qarun (Dionysias), Batn I hrit (Theadelphia), Byahma-Medinet el Fayoum…..",01/11/1994,C,EG,192
El-Gendi Fortress,01/11/1994,C,EG,193
Rutho Monastery,01/11/1994,C,EG,194
Wadi Feiran,01/11/1994,C,EG,195
Pharaon Island,01/11/1994,C,EG,196
Dahab,01/11/1994,C,EG,197
Minia,01/11/1994,C,EG,198
Newibah castle,01/11/1994,C,EG,199
Gulf of Fonseca,21/09/1992,CN,SV,206
Cara Sucia / El Imposible,21/09/1992,CN,SV,207
Chalchuapa,21/09/1992,C,SV,208
Ciudad Vieja / La Bermuda,21/09/1992,C,SV,209
Lake Guija,21/09/1992,CN,SV,210
Cacaopera,21/09/1992,C,SV,211
Qoahito Cultural Landscape,02/03/2011,C,ER,5600
Baltic Klint,06/01/2004,N,EE,1852
"Wooded meadows (Laelatu, Kalli-Nedrema, Mäepea, Allika, Tagamoisa, Loode, Koiva, Halliste)",06/01/2004,CN,EE,1854
Kuressaare Fortress,18/04/2002,C,EE,1716
Sacred Landscapes of Tigray,02/02/2018,C,ET,6301
Gedeo Mixed Cultural and Natural Landscape,27/12/2012,CN,ET,5787
Melka Kunture and Bachilt Archaeological Site,27/12/2012,C,ET,5788
"Dirre Sheik Hussein Religious, Cultural and Historical Site",14/12/2011,C,ET,5649
Holqa Sof Omar: Natural and Cultural Heritage (Sof Omar: Caves of Mystery),14/12/2011,CN,ET,5651
Bale Mountains National Park,13/03/2008,N,ET,5315
Sovi Basin,26/10/1999,C,FJ,1374
Sigatoka Sand Dunes,26/10/1999,C,FJ,1375
Yaduataba Crested Iguana Sanctuary,26/10/1999,N,FJ,1376
Paimio Hospital (formerly Paimio Sanatorium),28/01/2004,C,FI,1864
Saimaa-Pielinen Lake System,28/01/2004,N,FI,1865
The Carvings from historic time at the island of Gaddtarmen (Hauensuoli),01/10/1990,C,FI,215
The large Stone Age ruin of Kastelli at Pattijoki,01/10/1990,C,FI,219
The Rock paintings of Astuvansalmi at Ristiina,01/10/1990,C,FI,220
The Holy place of worship of Ukonsaari by the Sami people at Inari,01/10/1990,C,FI,221
"Le Charolais-Brionnais, paysage culturel de l'élevage bovin",12/03/2018,C,FR,6314
Cité de Carcassonne et ses châteaux sentinelles de montagne,21/04/2017,C,FR,6245
"Nice, la ville neuve née du tourisme, ou l’invention de la Riviera",06/03/2017,C,FR,6179
Les Alpes de la Méditerranée,31/01/2017,N,FR,6178
La Réserve naturelle nationale des Terres Australes Françaises,06/09/2016,N,FR,6163
Great Spas of Europe,07/07/2014,C,FR,5931
Aires volcaniques et forestières de la Martinique,09/04/2014,N,FR,5881
"Metz Royale et Impériale, enjeux de pouvoir, confrontations stylistiques et identité urbaine",07/04/2014,C,FR,5882
"Les Plages du Débarquement, Normandie, 1944",07/04/2014,C,FR,5883
Sites funéraires et mémoriels de la Première Guerre mondiale (Front Ouest),07/04/2014,C,FR,5884
"Nîmes, l'Antiquité au présent",04/04/2012,C,FR,5723
Chaîne des Puys et faille de Limagne,17/11/2011,N,FR,5643
Les Iles Marquises,22/06/2010,CN,FR,5564
La Camargue,01/02/2002,N,FR,1432
Bouches de Bonifacio,01/02/2002,N,FR,1649
Parc national des Écrins,01/02/2002,CN,FR,1651
Parc national de Port-Cros,01/02/2002,N,FR,1652
Marais salants de Guérande,01/02/2002,CN,FR,1653
Le rivage méditerranéen des Pyrénées,01/02/2002,CN,FR,1655
Rade de Marseille,01/02/2002,C,FR,1657
"Les villes antiques de la Narbonnaise et leur territoire : Nîmes, Arles, Glanum, aqueducs, via Domitia",01/02/2002,C,FR,1658
Le chemin de fer de Cerdagne,01/02/2002,C,FR,1661
"Office National d'Etudes et de Recherches Aérospatiales, Meudon",01/02/2002,C,FR,1662
Hangar Y,01/02/2002,C,FR,1663
Ancienne chocolaterie Menier à Noisiel,01/02/2002,C,FR,1664
Phare de Cordouan,01/02/2002,C,FR,1665
Centre ancien de Sarlat,01/02/2002,C,FR,1667
Arsenal de Rochefort et fortifications de l'estuaire de la Charente,01/02/2002,C,FR,1668
Ensemble de grottes à concrétions du Sud de la France,08/06/2000,N,FR,1429
Parc national de la Vanoise,08/06/2000,CN,FR,1430
Massif du Mont Blanc,08/06/2000,CN,FR,1431
Sites mégalithiques de Carnac,20/09/1996,C,FR,224
Cathédrale de Saint-Denis,20/09/1996,C,FR,230
"Rouen : ensemble urbain à pans de bois, cathédrale, église Saint-Ouen, église Saint Maclou",20/09/1996,C,FR,231
Château de Vaux-le-Vicomte,20/09/1996,C,FR,233
Les villes bastionnées des Pays-Bas du nord-ouest de l'Europe,20/09/1996,C,FR,234
Le massif forestier de Fontainebleau,20/09/1996,C,FR,239
Montagne Sainte-Victoire et sites cézaniens,20/09/1996,CN,FR,242
Ancien Hôpital Albert Schweitzer de Lambaréné,27/01/2009,C,GA,5418
Parc national d’Ivindo,20/10/2005,N,GA,2058
Grottes de Lastourville,20/10/2005,CN,GA,2059
Parc national des Plateaux Batéké,20/10/2005,CN,GA,2060
Parc National Moukalaba-Doudou,20/10/2005,CN,GA,2061
Parc national des Monts Birougou,20/10/2005,CN,GA,2062
Ecosystème et paysage culturel pygmée du massif de Minkébé,18/04/2003,CN,GA,1806
Wassu Stone Circles Quarry Site,29/04/2015,C,GM,6063
Historic Georgetown,29/04/2015,C,GM,6064
Alaverdi Cathedral,24/10/2007,C,GE,5221
Ananuri,24/10/2007,C,GE,5222
Colchis Wetlands and Forests,24/10/2007,N,GE,5223
David Gareji Monasteries and Hermitage,24/10/2007,CN,GE,5224
Dmanisi Hominid Archaeological Site,24/10/2007,C,GE,5225
Gremi Church of Archangels and Royal Tower,24/10/2007,C,GE,5226
Kvetera Church,24/10/2007,C,GE,5227
Mta-Tusheti,24/10/2007,CN,GE,5228
Nicortsminda Cathedral,24/10/2007,C,GE,5229
Samtavisi Cathedral,24/10/2007,C,GE,5230
Shatili,24/10/2007,C,GE,5232
Tbilisi Historic District,24/10/2007,C,GE,5233
Uplistsikhe Cave Town,24/10/2007,C,GE,5234
Vani,24/10/2007,C,GE,5235
Vardzia-Khertvisi,24/10/2007,CN,GE,5236
"Hedeby and Danevirke, an archaeological border landscape",28/01/2016,C,DE,6083
"Old Synagogue and Mikveh in Erfurt – Testimonies of everyday life, religion and town history between change and continuity",15/02/2015,C,DE,5982
Frontiers of the Roman Empire,04/02/2015,C,DE,6002
Frontiers of the Roman Empire - Lower German Limes (Germany),04/02/2015,C,DE,6299
The Jewish Cemetery of Altona Königstraße. Sephardic Sepulchral Culture of the 17th and 18th century between Europe and the Caribbean,15/01/2015,C,DE,5973
"Alpine and pre-alpine meadow and marsh landscapes (historic anthropogenic landscapes in the area of “Werdenfelser Land”, “Ammergau”, “Staffelseegebiet” and “Murnauer Moos”, district Garmisch-Partenkirchen)",15/01/2015,C,DE,5974
"ShUM cities of Speyer, Worms and Mainz",15/01/2015,C,DE,5975
Residence Ensemble Schwerin – Cultural Landscape of Romantic Historicism,15/01/2015,C,DE,5976
Darmstadt Artists’ Colony Mathildenhöhe,15/01/2015,C,DE,5981
"Dreams in Stone – the palaces of King Ludwig II of Bavaria: Neuschwanstein, Linderhof and Herrenchiemsee",15/01/2015,C,DE,5983
"Hydraulic Engineering and Hydropower, Drinking Water and Decorative Fountains in Augsburg",15/01/2015,C,DE,5984
"Luther memorials in Saxony-Anhalt, Saxony, Bavaria and Thuringia",15/01/2015,C,DE,5986
Great Spas of Europe,11/08/2014,C,DE,5934
Mining Cultural Landscape Erzgebirge/Krušnohoří,28/09/2012,C,DE,5776
VIKING MONUMENTS AND SITES / Danevirke and Hedeby,27/01/2011,C,DE,5591
Francke Foundation Buildings,20/09/1999,C,DE,1368
The Naumburg Cathedral and the landscape of the rivers Saale and Unstrut an important dominion in the High Middle Ages,20/09/1999,C,DE,1369
Mole National Park,17/01/2000,N,GH,1391
Tenzug - Tallensi settlements,17/01/2000,C,GH,1392
Navrongo Catholic Cathedral (#),17/01/2000,C,GH,1393
Nzulezu Stilt Settlement,17/01/2000,C,GH,1394
Trade Pilgrimage Routes of North-Western Ghana,17/01/2000,C,GH,1395
Kakum National Park (Assin Attandanso Reserve) (#),17/01/2000,N,GH,1396
Late Medieval Bastioned Fortifications in Greece,16/01/2014,C,GR,5855
National Park of Dadia - Lefkimi - Souflion,16/01/2014,N,GR,5856
Ancient Lavrion,16/01/2014,C,GR,5857
Petrified Forest of Lesvos,16/01/2014,CN,GR,5858
Archaeological site of Ancient Messene,16/01/2014,C,GR,5859
"Minoan Palatial Centres (Knossos, Phaistos, Malia, Zakros, Kydonia)",16/01/2014,C,GR,5860
Archaeological site of Nikopolis,16/01/2014,C,GR,5861
The broader region of Mount Olympus,16/01/2014,CN,GR,5862
The Area of the Prespes Lakes: Megali and Mikri Prespa which includes Byzantine and post-Byzantine monuments,16/01/2014,CN,GR,5864
Gorge of Samaria National Park,16/01/2014,N,GR,5865
Fortress of Spinalonga,16/01/2014,C,GR,5866
Ancient Towers of the Aegean Sea,16/01/2014,C,GR,5867
Zagorochoria – North Pindos National Park,16/01/2014,CN,GR,5868
Ancient Greek Theatres,16/01/2014,C,GR,5869
Grenadines Island Group,18/11/2013,CN,GD,5845
St. George Historic District,05/08/2004,C,GD,1924
St. George Fortified System,05/08/2004,C,GD,1926
Tak'alik Ab'aj National Park,27/04/2012,C,GT,5737
The Painted Murals of San Bartolo,27/04/2012,C,GT,5738
The Caves of Naj Tunich,27/04/2012,CN,GT,5739
The Cultural Triangle,23/09/2002,CN,GT,1752
The Cuenca Mirador,23/09/2002,CN,GT,1753
The Core of the Mayan Area,23/09/2002,CN,GT,1754
The Route of The Rivers,23/09/2002,CN,GT,1755
Naj Tunich Cave,23/09/2002,CN,GT,1756
The Mayan-Olmecan Encounter,23/09/2002,CN,GT,1757
Route of the Franciscan Evangelisation,23/09/2002,C,GT,1758
Route of the to Dominique Evangelisation,23/09/2002,C,GT,1759
Route of the Peace and National Identity,23/09/2002,C,GT,1760
Castle of San Felipe de Lara,23/09/2002,C,GT,1761
Route of the Agroindustry and the Architecture Victoriana,23/09/2002,C,GT,1762
Town of Chichicastenango,23/09/2002,C,GT,1763
"The Green Route of Verapaz, Guatemala",23/09/2002,N,GT,1764
Sierra De Las Minas Biosphere Reservation,23/09/2002,N,GT,1765
National Park Sierra del Lacandón,23/09/2002,CN,GT,1766
The Manglares Route of Pacific Coast of Guatemala,23/09/2002,N,GT,1767
Protected area of Lake Atitlán: multiple use,23/09/2002,N,GT,1768
Visis Cabá National park and Triangulo Ixil Vernacular Architecture,23/09/2002,CN,GT,1769
Architecture vernaculaire et paysage culturel mandingue du Gberedou/Hamana,29/03/2001,C,GN,1521
Paysage culturel des monts Nimba,29/03/2001,C,GN,1522
Route de l'esclave en Afrique segment de Timbo au Rio Pongo,29/03/2001,C,GN,1523
Réserve de Biosphère de l'Archipel des Bijagos,13/10/2006,N,GW,5081
Georgetown's Plantation Structure and Historic Buildings,28/01/2005,C,GY,2008
St. Georges Anglican Cathedral,15/11/1995,C,GY,272
Fort Zeelandia (including Court of Policy Building),15/11/1995,C,GY,273
"City Hall, Georgetown",15/11/1995,C,GY,274
Shell Beach (Almond Beach) Essequibo Coast,15/11/1995,N,GY,275
Centre historique de Jacmel,21/09/2004,C,HT,1947
The Network of Rural Heritage Buildings in Hungary,31/08/2017,C,HU,6264
"Royal Seats in Esztergom, Visegrád with the former Royal Wood in the Pilis Mountain",31/08/2017,C,HU,6267
Wooden bell-towers in the Upper Tisza-Region,31/08/2017,C,HU,6268
Balaton Uplands Cultural Landscape,31/08/2017,CN,HU,6269
Frontiers of the Roman Empire – Ripa Pannonica in Hungary,22/06/2009,C,HU,5452
Ödön Lechner’s independent pre-modern architecture,26/05/2008,C,HU,5366
System of Fortifications at the Confluence of the Rivers Danube and Váh in Komárno - Komárom,12/01/2007,C,HU,1498
State Stud-Farm Estate of Mezöhegyes,28/12/2000,C,HU,1500
The Ipolytartnóc Fossils,28/12/2000,N,HU,1502
Le Château-fort médiéval d'Esztergom,11/08/1993,C,HU,277
Caves of the Buda Thermal Karst System,11/08/1993,N,HU,282
Torfajökull Volcanic System / Fjallabak Nature Reserve,15/04/2013,N,IS,5817
Breiðafjörður Nature Reserve,07/02/2011,CN,IS,5585
Mývatn and Laxá,07/02/2011,N,IS,5586
VIKING MONUMENTS AND SITES / Þingvellir National Park,07/02/2011,C,IS,5587
Þingvellir National Park,07/02/2011,N,IS,5588
The Turf House Tradition,07/02/2011,C,IS,5589
Vatnajökull National Park,07/02/2011,N,IS,5590
Keibul Lamjao Conservation Area,11/03/2016,CN,IN,6086
"Jaipur city, Rajasthan India",15/04/2015,C,IN,6053
Cold Desert Cultural Landscape of India,15/04/2015,CN,IN,6055
"Sites along the Uttarapath, Badshahi Sadak, Sadak-e-Azam, Grand Trunk Road",15/04/2015,C,IN,6056
Evolution of Temple Architecture – Aihole-Badami- Pattadakal,09/02/2015,C,IN,5972
Monuments and Forts of the Deccan Sultanate,15/04/2014,C,IN,5887
"Cellular Jail, Andaman Islands",15/04/2014,C,IN,5888
The Glorious Kakatiya Temples and Gateways,15/04/2014,C,IN,5889
Iconic Saree Weaving Clusters of India,15/04/2014,C,IN,5890
Dholavira: A Harappan City,15/04/2014,C,IN,5892
Apatani Cultural Landscape,15/04/2014,C,IN,5893
"Sri Ranganathaswamy Temple, Srirangam",15/04/2014,C,IN,5894
Monuments of Srirangapatna Island Town,15/04/2014,C,IN,5895
Chilika Lake,15/04/2014,N,IN,5896
Padmanabhapuram Palace,15/04/2014,C,IN,5897
Sacred Ensembles of the Hoysala,15/04/2014,C,IN,5898
"Sites of Saytagrah, India’s non-violent freedom movement",15/04/2014,C,IN,5899
Thembang Fortified Village,15/04/2014,C,IN,5913
Narcondam Island,15/04/2014,N,IN,5914
Moidams – the Mound-Burial system of the Ahom Dynasty,15/04/2014,C,IN,5915
"Ekamra Kshetra – The Temple City, Bhubaneswar",15/04/2014,C,IN,5916
The Neolithic Settlement of Burzahom,15/04/2014,C,IN,5917
"Archaeological remains of a Harappa Port-Town, Lothal",15/04/2014,C,IN,5918
Mountain Railways of India (Extension),15/04/2014,C,IN,5919
"Chettinad, Village Clusters of the Tamil Merchants",15/04/2014,C,IN,5920
Bahá'í House of Worship at New Delhi,15/04/2014,C,IN,5921
The Victorian & Art Deco Ensemble of Mumbai,22/05/2012,C,IN,5740
Delhi - A Heritage City,22/05/2012,C,IN,5743
Mughal Gardens in Kashmir,13/12/2010,C,IN,5580
"The Qutb Shahi Monuments of Hyderabad Golconda Fort, Qutb Shahi Tombs, Charminar",10/09/2010,C,IN,5573
Silk Road Sites in India,20/01/2010,C,IN,5492
Santiniketan,20/01/2010,C,IN,5495
Neora Valley National Park,26/05/2009,N,IN,5447
Desert National Park,26/05/2009,N,IN,5448
Namdapha National Park,15/03/2006,N,IN,2104
"Wild Ass Sanctuary, Little Rann of Kutch",15/03/2006,N,IN,2105
River Island of Majuli in midstream of Brahmaputra River in Assam,02/03/2004,C,IN,1870
"Sri Harimandir Sahib, Amritsar, Punjab",05/01/2004,C,IN,1858
"Temples at Bishnupur, West Bengal",03/07/1998,C,IN,1087
"Mattanchery Palace, Ernakulam, Kerala",03/07/1998,C,IN,1092
"Group of Monuments at Mandu, Madhya Pradesh",03/07/1998,C,IN,1095
"Ancient Buddhist Site, Sarnath, Varanasi, Uttar Pradesh",03/07/1998,C,IN,1096
Historical City Centre of Yogyakarta,14/03/2017,C,ID,6206
Sangkulirang – Mangkalihat Karts: Prehistoric rock art area,30/01/2015,C,ID,6009
"The Old Town of Jakarta (Formerly old Batavia) and 4 Outlying Islands (Onrust, Kelor, Cipir dan Bidadari)",30/01/2015,C,ID,6010
Semarang Old Town,30/01/2015,C,ID,6011
Sawahlunto Old Coal Mining Town,30/01/2015,C,ID,6057
Traditional Settlement at Nagari Sijunjung,30/01/2015,C,ID,6059
The Historic and Marine Landscape of the Banda Islands,30/01/2015,CN,ID,6065
Tana Toraja Traditional Settlement,06/10/2009,C,ID,5462
Bawomataluo Site,06/10/2009,C,ID,5463
Muara Takus Compound Site,06/10/2009,C,ID,5464
Muarajambi Temple Compound,06/10/2009,C,ID,5465
Trowulan - Former Capital City of Majapahit Kingdom,06/10/2009,C,ID,5466
Prehistoric Cave Sites in Maros-Pangkep,06/10/2009,N,ID,5467
Bunaken National Park,07/02/2005,N,ID,2002
Raja Ampat Islands,07/02/2005,N,ID,2003
Taka Bonerate National Park,07/02/2005,N,ID,2005
Wakatobi National Park,07/02/2005,N,ID,2006
Derawan Islands,07/02/2005,N,ID,2007
Betung Kerihun National Park (Transborder Rainforest Heritage of Borneo),02/02/2004,N,ID,1871
Asbads (windmill) of Iran,02/02/2017,C,IR,6192
Natural-Historical Complex / Cave of Karaftoo,02/02/2017,CN,IR,6193
Imam Reza Holy Complex,02/02/2017,C,IR,6194
Industrial Heritage of Iranian Railway,02/02/2017,C,IR,6195
Industrial Heritage of textile in the central Plateau of Iran,02/02/2017,C,IR,6196
Persian Caravanserai,02/02/2017,C,IR,6197
Salt Domes of Iran,02/02/2017,N,IR,6198
The Great Wall of Gorgan,02/02/2017,C,IR,6199
The Persian House in Central plateau of Iran,02/02/2017,C,IR,6200
University of Tehran,02/02/2017,C,IR,6201
Silk Route (Also as Silk Road),05/02/2008,C,IR,5268
The Natural-Historical Landscape of Izeh,05/02/2008,C,IR,5269
The Zandiyeh Ensemble of Fars Province,05/02/2008,C,IR,5270
Kerman Historical-Cultural Structure,05/02/2008,C,IR,5271
Hegmataneh,05/02/2008,C,IR,5272
The Collection of Historical Bridges,05/02/2008,C,IR,5273
Touran Biosphere Reserve,05/02/2008,N,IR,5275
Hamoun Lake,05/02/2008,N,IR,5276
Harra Protected Area,05/02/2008,N,IR,5277
Damavand,05/02/2008,N,IR,5278
Kuh-e Khuaja,08/09/2007,C,IR,5184
"The Ensemble of Historical Sassanian Cities in Fars Province (Bishabpur, Firouzabad, Sarvestan)",09/08/2007,C,IR,5181
Taq-e Bostan,09/08/2007,C,IR,5182
Persepolis and other relevant buildings,09/08/2007,C,IR,5186
"The Historical–Cultural Axis of Fin, Sialk, Kashan",09/08/2007,C,IR,5187
Historical Ensemble of Qasr-e Shirin,09/08/2007,C,IR,5188
Historic Monument of Kangavar,09/08/2007,C,IR,5189
The Historical City of Maybod,09/08/2007,C,IR,5193
The Historical Port of Siraf,09/08/2007,C,IR,5195
Bazaar of Qaisariye in Laar,09/08/2007,C,IR,5196
The Historical Village of Abyaneh,09/08/2007,C,IR,5197
Bastam and Kharghan,09/08/2007,C,IR,5198
The Historical Texture of Damghan,09/08/2007,C,IR,5200
The Cultural-Natural Landscape of Ramsar,09/08/2007,CN,IR,5201
Kaboud Mosque,09/08/2007,C,IR,5202
Tous Cultural Landscape,09/08/2007,C,IR,5203
The Historical City of Masouleh,09/08/2007,C,IR,5204
The Complex of Izadkhast,09/08/2007,C,IR,5205
Cultural Landscape of Alamout,09/08/2007,CN,IR,5206
Zozan,09/08/2007,C,IR,5208
Khorramabad Valley,09/08/2007,C,IR,5209
Jiroft,09/08/2007,C,IR,5210
Ghaznavi- Seljukian Axis in Khorasan,09/08/2007,C,IR,5211
The Cultural Landscape of Uramanat,09/08/2007,C,IR,5212
Hyrcanian Forest (Caspian Forest),09/08/2007,N,IR,5214
Qeshm Island,09/08/2007,N,IR,5215
Arasbaran Protected Area,09/08/2007,N,IR,5217
Sabalan,09/08/2007,N,IR,5218
Khabr National Park and Ruchun Wildlife Refuge,09/08/2007,N,IR,5219
Alisadr Cave,09/08/2007,N,IR,5220
Jame' (Congregational) Mosque of Esfahan,22/05/1997,C,IR,888
Historic ensemble of Qasr-e Shirin,22/05/1997,C,IR,889
Firuzabad Ensemble,22/05/1997,C,IR,893
Shush,22/05/1997,C,IR,894
Nasqsh-e Rostam and Naqsh-e Rajab,22/05/1997,C,IR,898
Tape Sialk,22/05/1997,C,IR,900
Nippur,20/02/2017,C,IQ,6173
Bestansur Neolithic settlement,20/01/2017,C,IQ,6172
"Historical Features of the Tigris River in Baghdad Rusafa, which extends from the school Al-Mustansiriya to the Abbasid Palace",28/03/2014,C,IQ,5880
Amedy city,02/02/2011,CN,IQ,5601
Wadi Al-Salam Cemetery in Najaf,24/01/2011,C,IQ,5578
The Site of Thilkifl,21/01/2010,C,IQ,5497
Babylon - Cultural Landscape and Achaeological City,29/10/2003,C,IQ,1837
Nimrud,07/07/2000,C,IQ,1463
The Ancient City of Nineveh,07/07/2000,C,IQ,1465
The Fortress of Al-Ukhaidar,07/07/2000,C,IQ,1467
Wasit,07/07/2000,C,IQ,1468
The Burren,08/04/2010,CN,IE,5522
The Historic City of Dublin,08/04/2010,C,IE,5523
The Céide Fields and North West Mayo Boglands,08/04/2010,C,IE,5524
Western Stone Forts,08/04/2010,C,IE,5525
The Monastic City of Clonmacnoise and its Cultural Landscape,08/04/2010,C,IE,5526
Early Medieval Monastic Sites,08/04/2010,C,IE,5527
"The Royal Sites of Ireland: Cashel, Dún Ailinne, Hill of Uisneach, Rathcroghan Complex, and Tara Complex",08/04/2010,C,IE,5528
Liftah (Mey Naftoah) – Traditional mountain village,05/02/2015,C,IL,6061
"Ein Karem, a village and its cultural landscape",05/02/2015,C,IL,6062
The Great Rift Valley - migratory routes - The Hula,15/04/2004,N,IL,1886
Makhteshim Country,30/09/2001,CN,IL,1486
Triple-arch Gate at Dan & Sources of the Jordan,30/06/2000,CN,IL,1469
Early Synagogues in the Galilee,30/06/2000,C,IL,1470
The Galilee Journeys of Jesus & the Apostles,30/06/2000,C,IL,1471
Sea of Galilee & its Ancient Sites,30/06/2000,CN,IL,1473
Horvat Minnim,30/06/2000,C,IL,1474
"Arbel (arbel, nebe shueb, horns of hittim)",30/06/2000,CN,IL,1475
Degania & Nahalal,30/06/2000,C,IL,1478
Bet She'an,30/06/2000,C,IL,1479
