unique_number,id_no,name_en,date_inscribed,category,name_en
165,148,Old City of Jerusalem and its Walls,1981,Cultural,Arab States
188,170,Medina of Fez,1981,Cultural,Arab States
209,188,M'Zab Valley,1982,Cultural,Arab States
212,191,Dj_mila,1982,Cultural,Arab States
215,194,Timgad,1982,Cultural,Arab States
203,183,Archaeological Site of Leptis Magna,1982,Cultural,Arab States
204,184,Archaeological Site of Sabratha,1982,Cultural,Arab States
211,190,Archaeological Site of Cyrene,1982,Cultural,Arab States
213,192,Old Walled City of Shibam,1982,Cultural,Arab States
214,193,Tipasa,1982,Cultural,Arab States
198,179,Tassili n'Ajjer,1982,Mixed,Arab States
329,293,Anjar,1984,Cultural,Arab States
330,294,Baalbek,1984,Cultural,Arab States
331,295,Byblos,1984,Cultural,Arab States
335,299,Tyre,1984,Cultural,Arab States
309,277,Hatra,1985,Cultural,Arab States
370,326,Petra,1985,Cultural,Arab States
372,327,Quseir Amra,1985,Cultural,Arab States
321,287,Rock-Art Sites of Tadrart Acacus,1985,Cultural,Arab States
376,331,Medina of Marrakesh,1985,Cultural,Arab States
378,332,Punic Town of Kerkuane and its Necropolis,1985,Cultural,Arab States
415,362,Old Town of Ghadamès,1986,Cultural,Arab States
24,21,Ancient City of Aleppo,1986,Cultural,Arab States
444,385,Old City of Sana'a,1986,Cultural,Arab States
515,444,Ksar of Ait-Ben-Haddou,1987,Cultural,Arab States
502,433,Bahla Fort,1987,Cultural,Arab States
503,434,"Archaeological Sites of Bat, Al-Khutm and Al-Ayn",1988,Cultural,Arab States
1743,498,Medina of Sousse,1988,Cultural,Arab States
1742,499,Kairouan,1988,Cultural,Arab States
590,506,Banc d'Arguin National Park,1989,Natural,Arab States
667,565,Kasbah of Algiers,1992,Cultural,Arab States
725,611,Historic Town of Zabid,1993,Cultural,Arab States
937,793,Historic City of Meknes,1996,Cultural,Arab States
884,750,"Ancient <I>Ksour</I> of Ouadane, Chinguetti, Tichitt and Oualata",1996,Cultural,Arab States
1625,836,Archaeological Site of Volubilis,1997,Cultural,Arab States
986,837,Medina of T_touan (formerly known as Titawin),1997,Cultural,Arab States
938,794,Dougga / Thugga,1997,Cultural,Arab States
1001,850,Ouadi Qadisha (the Holy Valley) and the Forest of the Cedars of God (Horsh Arz el-Rab),1998,Cultural,Arab States
1180,1010,Land of Frankincense,2000,Cultural,Arab States
888,753,Medina of Essaouira (formerly Mogador),2001,Cultural,Arab States
1116,954,Saint Catherine Area,2002,Cultural,Arab States
1310,1130,Ashur (Qal'at Sherqat),2003,Cultural,Arab States
1250,1073,Gebel Barkal and the Sites of the Napatan Region,2003,Cultural,Arab States
1271,1093,Um er-Rasas (Kastrom Mefa'a),2004,Cultural,Arab States
1234,1058,Portuguese City of Mazagan (El Jadida),2004,Cultural,Arab States
2062,1192,QalÕat al-Bahrain _ Ancient Harbour and Capital of Dilmun,2005,Cultural,Arab States
1363,1186,Wadi Al-Hitan (Whale Valley),2005,Natural,Arab States
1384,1207,<i>Aflaj</i> Irrigation Systems of Oman,2006,Cultural,Arab States
1406,1229,Crac des Chevaliers and QalÕat Salah El-Din,2006,Cultural,Arab States
1456,276,Samarra Archaeological City,2007,Cultural,Arab States
1524,1293,Al-Hijr Archaeological Site (Mad‰in S‰lih),2008,Cultural,Arab States
1548,1263,Socotra Archipelago,2008,Natural,Arab States
1659,1329,At-Turaif District in ad-Dir'iyah,2010,Cultural,Arab States
1758,1377,Wadi Rum Protected Area,2011,Mixed,Arab States
1760,1336,Archaeological Sites of the Island of Meroe,2011,Cultural,Arab States
1761,1348,Ancient Villages of Northern Syria,2011,Cultural,Arab States
1762,1343,"Cultural Sites of Al Ain (Hafit, Hili, Bidaa Bint Saud and Oases Areas)",2011,Cultural,Arab States
1859,1364,"Pearling, Testimony of an Island Economy",2012,Cultural,Arab States
1825,1401,"Rabat, Modern Capital and Historic City: a Shared Heritage",2012,Cultural,Arab States
1922,1433,"Birthplace of Jesus: Church of the Nativity and the Pilgrimage Route, Bethlehem",2012,Cultural,Arab States
1948,1402,Al Zubarah Archaeological Site,2013,Cultural,Arab States
1980,1437,Erbil Citadel,2014,Cultural,Arab States
2012,1492,"Palestine: Land of Olives and Vines _ Cultural Landscape of Southern Jerusalem, Battir",2014,Cultural,Arab States
1968,1361,"Historic Jeddah, the Gate to Makkah",2014,Cultural,Arab States
2019,1446,Baptism Site ÒBethany Beyond the JordanÓ (Al-Maghtas),2015,Cultural,Arab States
2033,1472,Rock Art in the Hail Region of Saudi Arabia,2015,Cultural,Arab States
2042,1481,The Ahwar of Southern Iraq: Refuge of Biodiversity and the Relict Landscape of the Mesopotamian Cities,2016,Mixed,Arab States
2177,262,Sanganeb Marine National Park and Dungonab Bay _ Mukkawar Island Marine National Park,2016,Natural,Arab States
122,113,Tchogha Zanbil,1979,Cultural,Asia and the Pacific
123,114,Persepolis,1979,Cultural,Asia and the Pacific
125,115,"Meidan Emam, Esfahan",1979,Cultural,Asia and the Pacific
1448,121,Kathmandu Valley ,1979,Cultural,Asia and the Pacific
132,120,Sagarmatha National Park,1979,Natural,Asia and the Pacific
151,138,Archaeological Ruins at Moenjodaro,1980,Cultural,Asia and the Pacific
153,139,Taxila,1980,Cultural,Asia and the Pacific
154,140,Buddhist Ruins of Takht-i-Bahi and Neighbouring City Remains at Sahr-i-Bahlol,1980,Cultural,Asia and the Pacific
1872,147,Kakadu National Park,1981,Mixed,Asia and the Pacific
185,167,Willandra Lakes Region,1981,Mixed,Asia and the Pacific
158,143,"Historical Monuments at Makli, Thatta",1981,Cultural,Asia and the Pacific
189,171,Fort and Shalamar Gardens in Lahore,1981,Cultural,Asia and the Pacific
172,154,Great Barrier Reef,1981,Natural,Asia and the Pacific
206,186,Lord Howe Island Group,1982,Natural,Asia and the Pacific
221,200,Sacred City of Anuradhapura,1982,Cultural,Asia and the Pacific
222,201,Ancient City of Polonnaruwa,1982,Cultural,Asia and the Pacific
1950,181,Tasmanian Wilderness,1982,Mixed,Asia and the Pacific
223,202,Ancient City of Sigiriya,1982,Cultural,Asia and the Pacific
269,242,Ajanta Caves,1983,Cultural,Asia and the Pacific
270,243,Ellora Caves,1983,Cultural,Asia and the Pacific
281,251,Agra Fort,1983,Cultural,Asia and the Pacific
282,252,Taj Mahal,1983,Cultural,Asia and the Pacific
274,246,"Sun Temple, Kon‰rak",1984,Cultural,Asia and the Pacific
277,249,Group of Monuments at Mahabalipuram,1984,Cultural,Asia and the Pacific
318,284,Chitwan National Park,1984,Natural,Asia and the Pacific
365,321,Historic Mosque City of Bagerhat,1985,Cultural,Asia and the Pacific
366,322,Ruins of the Buddhist Vihara at Paharpur,1985,Cultural,Asia and the Pacific
384,337,Kaziranga National Park,1985,Natural,Asia and the Pacific
385,338,Manas Wildlife Sanctuary,1985,Natural,Asia and the Pacific
387,340,Keoladeo National Park,1985,Natural,Asia and the Pacific
422,368,Gondwana Rainforests of Australia,1986,Natural,Asia and the Pacific
260,234,Churches and Convents of Goa,1986,Cultural,Asia and the Pacific
267,240,Khajuraho Group of Monuments,1986,Cultural,Asia and the Pacific
1932,241,Group of Monuments at Hampi,1986,Cultural,Asia and the Pacific
285,255,Fatehpur Sikri,1986,Cultural,Asia and the Pacific
519,447,Ulu<U>r</U>u-Kata Tju<U>t</U>a National Park,1987,Mixed,Asia and the Pacific
507,437,Mount Taishan,1987,Mixed,Asia and the Pacific
508,438,The Great Wall,1987,Cultural,Asia and the Pacific
510,439,Imperial Palaces of the Ming and Qing Dynasties in Beijing and Shenyang,1987,Cultural,Asia and the Pacific
511,440,Mogao Caves,1987,Cultural,Asia and the Pacific
512,441,Mausoleum of the First Qin Emperor,1987,Cultural,Asia and the Pacific
521,449,Peking Man Site at Zhoukoudian,1987,Cultural,Asia and the Pacific
266,239,Group of Monuments at Pattadakal,1987,Cultural,Asia and the Pacific
272,244,Elephanta Caves,1987,Cultural,Asia and the Pacific
280,250,Great Living Chola Temples,1987,Cultural,Asia and the Pacific
524,452,Sundarbans National Park,1987,Natural,Asia and the Pacific
382,335,Nanda Devi and Valley of Flowers National Parks  ,1988,Natural,Asia and the Pacific
565,486,Wet Tropics of Queensland,1988,Natural,Asia and the Pacific
468,405,Sinharaja Forest Reserve,1988,Natural,Asia and the Pacific
522,450,Sacred City of Kandy,1988,Cultural,Asia and the Pacific
